               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  94,             0.02337,             0.02596,           0.0020213,             0.97957,             0.96435,             0.97959,             0.79518,            0.014469,            0.019971,           0.0010036,           0.0080294,           0.0080294,           0.0080294
                  95,            0.023307,             0.02581,           0.0020071,             0.97927,             0.96478,             0.97957,             0.79588,            0.014437,             0.01993,           0.0010023,           0.0079903,           0.0079903,           0.0079903
                  96,            0.023336,            0.026004,           0.0020141,             0.98028,             0.96403,             0.97956,             0.79639,            0.014405,            0.019887,           0.0010009,           0.0079509,           0.0079509,           0.0079509
                  97,            0.023271,            0.025879,           0.0020108,             0.97963,              0.9649,             0.97964,             0.79698,            0.014375,            0.019847,          0.00099951,           0.0079112,           0.0079112,           0.0079112
                  98,             0.02323,            0.025757,           0.0019962,             0.97986,             0.96501,             0.97969,             0.79761,            0.014344,            0.019808,          0.00099824,           0.0078713,           0.0078713,           0.0078713
                  99,            0.023197,            0.025826,           0.0020093,             0.98041,             0.96459,             0.97972,             0.79804,            0.014313,            0.019767,          0.00099707,           0.0078311,           0.0078311,           0.0078311
                 100,             0.02315,            0.025875,           0.0019915,             0.98019,             0.96497,             0.97974,             0.79834,            0.014281,            0.019728,          0.00099569,           0.0077907,           0.0077907,           0.0077907
                 101,            0.023198,            0.025717,           0.0020054,             0.98037,             0.96503,             0.97986,             0.79884,            0.014252,            0.019689,          0.00099439,             0.00775,             0.00775,             0.00775
                 102,            0.023153,            0.025825,           0.0020026,             0.98188,             0.96377,             0.97985,              0.7994,            0.014222,            0.019647,          0.00099309,           0.0077091,           0.0077091,           0.0077091
                 103,             0.02305,            0.025694,            0.001974,             0.98062,             0.96513,              0.9799,              0.8005,            0.014191,            0.019609,          0.00099188,           0.0076679,           0.0076679,           0.0076679
                 104,             0.02304,            0.025628,            0.001987,             0.98111,             0.96482,                0.98,             0.80078,            0.014164,            0.019571,          0.00099073,           0.0076265,           0.0076265,           0.0076265
                 105,             0.02303,            0.025667,           0.0019849,              0.9814,             0.96485,             0.98008,             0.80111,            0.014136,            0.019533,          0.00098944,           0.0075848,           0.0075848,           0.0075848
                 106,            0.022968,            0.025588,           0.0019819,             0.98101,              0.9654,             0.98018,             0.80145,            0.014106,            0.019492,          0.00098814,            0.007543,            0.007543,            0.007543
                 107,            0.022992,            0.025674,           0.0020041,             0.98105,             0.96556,             0.98021,             0.80177,            0.014076,            0.019454,          0.00098674,           0.0075009,           0.0075009,           0.0075009
                 108,            0.022954,            0.025468,           0.0019811,             0.98058,             0.96618,             0.98025,             0.80225,            0.014047,            0.019417,          0.00098525,           0.0074585,           0.0074585,           0.0074585
                 109,            0.022934,            0.025574,           0.0019905,             0.98127,             0.96572,             0.98029,             0.80278,             0.01402,            0.019379,          0.00098379,            0.007416,            0.007416,            0.007416
                 110,            0.022933,            0.025413,           0.0020048,             0.98061,             0.96645,             0.98031,             0.80342,             0.01399,             0.01934,          0.00098246,           0.0073733,           0.0073733,           0.0073733
                 111,            0.022899,            0.025521,           0.0019894,             0.98077,             0.96655,             0.98035,             0.80372,            0.013962,            0.019303,          0.00098107,           0.0073303,           0.0073303,           0.0073303
                 112,             0.02288,            0.025348,           0.0019815,             0.98158,               0.966,             0.98042,             0.80423,             0.01394,            0.019271,          0.00097978,           0.0072872,           0.0072872,           0.0072872
                 113,            0.022742,            0.025431,           0.0019636,             0.98262,             0.96512,             0.98044,             0.80498,            0.013917,            0.019235,          0.00097851,           0.0072438,           0.0072438,           0.0072438
                 114,            0.022777,            0.025206,           0.0019875,             0.98288,             0.96495,             0.98042,             0.80531,            0.013893,            0.019202,          0.00097737,           0.0072003,           0.0072003,           0.0072003
